0,52498,44307,14840,41338,43294,3872,29923,50466,14300
52498,0,67785,9786,80233,26781,86803,45873,88296,64075
44307,67785,0,69036,79391,25742,102314,79493,57883,121310
14840,9786,69036,0,33480,37146,53463,9424,37293,67235
41338,80233,79391,33480,0,53176,115376,52886,67371,85520
43294,26781,25742,37146,53176,0,65168,27954,64246,68520
3872,86803,102314,53463,115376,65168,0,106661,72910,70480
29923,45873,79493,9424,52886,27954,106661,0,57903,71707
50466,88296,57883,37293,67371,64246,72910,57903,0,13321
14300,64075,121310,67235,85520,68520,70480,71707,13321,0
